,License Number,License Type,Name of Program,AddressLine1,AddressLine2,AddressLine3,City,State,Zip,County,Phone,License Status,License Holder,Capacity,Type Of License,Restrictions,Services,Licensing Authority,Initial Effective Date,Current Effective Date,Expiration Date,License Holder Lives Onsite,Unnamed: 22,full_address,location,latitude,longitude,weight
30,800058,Child Care Center,Aldrich Memorial Nursery School,855 Essex Pkwy NW, ,,Rochester,MN,55901,Olmsted,(507) 289-3097,Active,"Aldrich Memorial Nursery School, Inc.",168,Service: Day time child care Ages Served: Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,11/27/1943,01/01/2023,12/31/2023,   ,,855 Essex Pkwy NW Rochester MN 55901,"855 Essex Pkwy NW, Rochester, MN 55901, USA",44.0689429,-92.4763802,
31,802771,Child Care Center,Alexandria Area YMCA Center east,110 Karl Dr,,,Alexandria,MN,56308,Douglas,(320) 834-9622,Active,Alexandria Area YMCA,136,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,06/16/1986,01/09/2023,12/31/2023,   ,,110 Karl Dr Alexandria MN 56308,"110 Karl Dr, Alexandria, MN 56308, USA",45.8964736,-95.40576999999999,
32,1092113,Child Care Center,Alexandria Area YMCA Center South,420 12th Ave E,,,Alexandria,MN,56308,Douglas,(320) 834-9622,Active,Alexandria Area YMCA,50 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,06/18/2018,01/09/2023,12/31/2023,   ,,420 12th Ave E Alexandria MN 56308,"420 12th Ave E, Alexandria, MN 56308, USA",45.8775343,-95.3710205,
33,807340,Child Care Center,All 'bout Children Daycare,300 1st Ave NW, ,,Plainview,MN,55964,Wabasha,(507) 534-2424,Active,"All 'bout Children Daycare, Inc.",63 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,03/16/1994,01/01/2023,12/31/2023,   ,,300 1st Ave NW Plainview MN 55964,"300 1st Ave NW, Plainview, MN 55964, USA",44.166268,-92.1703916,
34,1082560,Child Care Center,All Ages & Faces Academy,580 FULLER AVE,,,Saint Paul,MN,55103,Ramsey,(651) 488-2097,Active,All Ages & Faces Academy,90 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,10/05/2016,01/17/2023,12/31/2023,   ,,580 FULLER AVE Saint Paul MN 55103,"580 Fuller Ave, St Paul, MN 55103, USA",44.95355411845441,-93.12481982987372,
35,1059664,Child Care Center,All God's Children Christian Learning Center ,16120 Cedar Ave S,,,Rosemount,MN,55068,Dakota,(952) 292-1650,Active,All God's Children Christian Learning Center ,64 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,04/12/2011,01/01/2023,12/31/2023,   ,,16120 Cedar Ave S Rosemount MN 55068,"16120 Cedar Ave, Rosemount, MN 55068, USA",44.71592443762301,-93.21670756581547,
36,830260,Child Care Center,All God's Children Learning Center,4735 Bassett Creek Dr, , ,Golden Valley,MN,55422,Hennepin,(763) 588-5437,Active,"All God's Children Learning Center, Inc.",72 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,09/01/1997,01/01/2023,12/31/2023,   ,,4735 Bassett Creek Dr Golden Valley MN 55422,"4735 Bassett Creek Dr, Golden Valley, MN 55422, USA",45.0038683,-93.3395687,
37,1065334,Child Care Center,All Pro Childcare LLC,503 HAWTHORNE ST STE 103,,,Alexandria,MN,56308,Douglas,(320) 766-8708,Active,All Pro Childcare Center LLC,68 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,04/15/2013,01/03/2023,12/31/2023,   ,,503 HAWTHORNE ST STE 103 Alexandria MN 56308,"503 Hawthorne St # 103, Alexandria, MN 56308, USA",45.8867378,-95.37565900000001,
38,1046978,Child Care Center,All Saints Academy Child Care,605 4TH ST,P.O BOX 158,,Madison Lake,MN,56063,Blue Earth,(507) 243-3010,Active,All Saints Parish of Madison Lake Inc,98 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,09/01/2007,01/01/2023,12/31/2023,   ,,605 4TH ST Madison Lake MN 56063,"Madison Lake, MN 56063, USA",44.20441160000001,-93.815508,
39,1079708,Child Care Center,All Saints Academy St Cloud Campus,1215 11th Ave N,,,Saint Cloud,MN,56303,Stearns,(320) 251-5295,Active,All Saints Academy St Cloud Campus,44 ,Service: Day time child care Ages Served: Preschool       ,None,Child Care Center,Minnesota Department of Human Services,08/30/2016,01/01/2023,12/31/2023,   ,,1215 11th Ave N Saint Cloud MN 56303,"1215 11th Ave N, St Cloud, MN 56303, USA",45.5696065,-94.17548359999999,
40,1086686,Child Care Center,All Saints Academy St Joseph Campus,32 W Minnesota St,,,Saint Joseph,MN,56374,Stearns,(320) 363-7505,Active,All Saints Academy St Cloud Campus,38 ,Service: Day time child care Ages Served: Preschool       ,None,Child Care Center,Minnesota Department of Human Services,08/31/2017,01/01/2023,12/31/2023,   ,,32 W Minnesota St Saint Joseph MN 56374,"32 W Minnesota St, St Joseph, MN 56374, USA",45.5639171,-94.3193589,
41,1018410,Child Care Center,All Saints Catholic Preschool,19795 Holyoke Ave,,,Lakeville,MN,55044,Dakota,(952) 985-9936,Active,"The church of All Saints of Lakeville, Minnesota ",38 ,Service: Day time child care Ages Served: Preschool       ,None,Child Care Center,Minnesota Department of Human Services,08/23/2002,01/01/2023,12/31/2023,   ,,19795 Holyoke Ave Lakeville MN 55044,"19795 Holyoke Ave, Lakeville, MN 55044, USA",44.6620315,-93.2458707,
42,800064,Child Care Center,All Saints Child Care Center,15915 Excelsior Blvd, ,,Minnetonka,MN,55345,Hennepin,(952) 934-4156,Active,All Saints Lutheran Church Minnetonka,45 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,09/03/1985,01/01/2023,12/31/2023,   ,,15915 Excelsior Blvd Minnetonka MN 55345,"15915 Excelsior Blvd, Minnetonka, MN 55345, USA",44.90326169999999,-93.48243769999999,
43,800065,Child Care Center,All Saints Preschool,15915 Excelsior Blvd,,,Minnetonka,MN,55345,Hennepin,(952) 934-3552,Active,All Saints Lutheran Church Minnetonka,67 ,Service: Day time child care Ages Served: Toddlers     Preschool     School-Age       ,"Per Fire Marshall, program may not have any toddlers under 30 months of age.",Child Care Center,Minnesota Department of Human Services,01/01/1966,01/01/2023,12/31/2023,   ,,15915 Excelsior Blvd Minnetonka MN 55345,"15915 Excelsior Blvd, Minnetonka, MN 55345, USA",44.90326169999999,-93.48243769999999,
44,1054093,Child Care Center,All Season's Preschool,7260 South Robert Trail,,,Inver Grove Heights,MN,55077,Dakota,(651) 450-0606,Active,All Season's Preschool,60 ,Service: Day time child care Ages Served: Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,10/05/2009,01/01/2023,12/31/2023,   ,,7260 South Robert Trail Inver Grove Heights MN 55077,"7260 S Robert Trail, Inver Grove Heights, MN 55077, USA",44.84445789999999,-93.0843115,
45,1103909,Child Care Center,All Seasons Preschool of Eagan LLC,3385 DISCOVERY RD,,,Eagan,MN,55121,Dakota,(952) 466-1471,Active,All Seasons Preschool of Eagan LLC,50 ,Service: Day time child care Ages Served: Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,09/09/2020,01/01/2023,12/31/2023,   ,,3385 DISCOVERY RD Eagan MN 55121,"3385 Discovery Rd, Eagan, MN 55121, USA",44.834515,-93.1454272,
46,1101499,Child Care Center,All Smiles Daycare Center,4102 W COUNTY ROAD 42,,,Savage,MN,55378,Scott,(612) 481-0610,Active,All Smiles Child Daycare Center LLC,59 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,03/05/2020,01/01/2023,12/31/2023,   ,,4102 W COUNTY ROAD 42 Savage MN 55378,"4102 County Rd 42 W, Savage, MN 55378, USA",44.74736069999999,-93.33190139999999,
47,1046877,Child Care Center,"All Stars Montessori, LLC",5920 148th St W,,,Apple Valley,MN,55124,Dakota,(952) 432-2422,Active,"All Stars Montessori, LLC",125,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,08/02/2007,01/01/2023,12/31/2023,   ,,5920 148th St W Apple Valley MN 55124,"5920 148th St W, Apple Valley, MN 55124, USA",44.7349165,-93.18636219999999,
48,1049848,Child Care Center,Allstar,980 10TH ST NE,,,Milaca,MN,56353,Mille Lacs,(320) 982-7827,Active,Allstar,129,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,05/27/2008,01/01/2023,12/31/2023,   ,,980 10TH ST NE Milaca MN 56353,"980 10th St NE, Milaca, MN 56353, USA",45.7644035,-93.63775460000001,
49,1104621,Child Care Center,Alma Flor Ada Woodbury Spanish Immersion Early Learning Academy,8420 CITY CENTRE DR,,,Woodbury,MN,55125,Washington,(651) 999-3952,Active,"Woodbury Spanish Immersion Early Learning Academy, LLC",108,Service: Day time child care Ages Served: Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,09/09/2020,01/01/2023,12/31/2023,   ,,8420 CITY CENTRE DR Woodbury MN 55125,"8420 City Centre Dr, Woodbury, MN 55125, USA",44.9221687,-92.9362079,
50,1115314,Child Care Center,Alphabet Child Care Inc.,1010 PARK AVE,,,Minneapolis,MN,55404,Hennepin,(612) 345-5631,Active,Alphabet Child Care Inc.,47 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,"Per state fire marshal, temporary occupancy granted until 6/18/2023",Child Care Center,Minnesota Department of Human Services,01/01/2023,01/01/2023,12/31/2023,   ,,1010 PARK AVE Minneapolis MN 55404,"1010 Park Ave, Minneapolis, MN 55404, USA",44.9693941,-93.265587,
51,831093,Child Care Center,Alphabet Junction Child Care Center,1661 PARK RIDGE DR,,,Chaska,MN,55318,Carver,(952) 227-7754,Active,Alphabet Junction Child Care Center ,52 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,07/01/1999,01/01/2023,12/31/2023,   ,,1661 PARK RIDGE DR Chaska MN 55318,"1661 Park Ridge Dr, Chaska, MN 55318, USA",44.8062922,-93.5937672,
52,1063267,Child Care Center,Alphabet Junction Childcare Center 4 Inc,1335 10TH AVE E,,,Shakopee,MN,55379,Scott,(952) 445-3555,Active,Alphabet Junction Childcare Center 4 Inc. ,91 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,06/04/2012,01/01/2023,12/31/2023,   ,,1335 10TH AVE E Shakopee MN 55379,"1335 10th Ave E, Shakopee, MN 55379, USA",44.7887762,-93.507404,
53,1065286,Child Care Center,Alphabet Junction Childcare Center 5 Inc,169 El Dorado Dr,,,Jordan,MN,55352,Scott,(952) 492-5655,Active,Alphabet Junction Childcare Center 5 Inc,83 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,04/01/2013,02/10/2023,12/31/2023,   ,,169 El Dorado Dr Jordan MN 55352,"169 El Dorado Dr, Jordan, MN 55352, USA",44.6676283,-93.6377524,
54,1056538,Child Care Center,Alphabet Junction Learning Center 3 Inc,7840 Victoria Dr,,,Victoria,MN,55386,Carver,(952) 443-3196,Active,Alphabet Junction Learning Center 3 Inc,99 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,03/08/2010,01/01/2023,12/31/2023,   ,,7840 Victoria Dr Victoria MN 55386,"7840 Victoria Dr, Victoria, MN 55386, USA",44.86257070000001,-93.6713065,
55,1017489,Child Care Center,"Alphabet Junction Learning Center Too, Inc.",240 E Frontage Rd,,,Waconia,MN,55387,Carver,(952) 442-8698,Active,"Alphabet Junction Learning Center Too, Inc",82 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,09/12/2002,01/01/2023,12/31/2023,   ,,240 E Frontage Rd Waconia MN 55387,"240 E Frontage Rd, Waconia, MN 55387, USA",44.8442349,-93.78188720000001,
56,1054231,Child Care Center,Amazing Beginnings Montessori & Child Care,3105 65th St E,,,Inver Grove Heights,MN,55076,Dakota,(651) 451-4433,Active,Amazing Beginnings Montessori & Child Care,100,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,07/24/2009,01/01/2023,12/31/2023,   ,,3105 65th St E Inver Grove Heights MN 55076,"3105 65th St E, Inver Grove Heights, MN 55076, USA",44.8559378,-93.0428324,
