,License Number,License Type,Name of Program,AddressLine1,AddressLine2,AddressLine3,City,State,Zip,County,Phone,License Status,License Holder,Capacity,Type Of License,Restrictions,Services,Licensing Authority,Initial Effective Date,Current Effective Date,Expiration Date,License Holder Lives Onsite,Unnamed: 22
35,1059664,Child Care Center,All God's Children Christian Learning Center ,16120 Cedar Ave S,,,Rosemount,MN,55068     ,Dakota,(952) 292-1650,Active,All God's Children Christian Learning Center ,64 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,04/12/2011,01/01/2023,12/31/2023,   ,
36,830260,Child Care Center,All God's Children Learning Center,4735 Bassett Creek Dr, , ,Golden Valley,MN,55422     ,Hennepin,(763) 588-5437,Active,"All God's Children Learning Center, Inc.",72 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,09/01/1997,01/01/2023,12/31/2023,   ,
37,1065334,Child Care Center,All Pro Childcare LLC,503 HAWTHORNE ST STE 103,,,Alexandria,MN,56308-1992,Douglas,(320) 766-8708,Active,All Pro Childcare Center LLC,68 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,04/15/2013,01/03/2023,12/31/2023,   ,
38,1046978,Child Care Center,All Saints Academy Child Care,605 4TH ST,P.O BOX 158,,Madison Lake,MN,56063-2003,Blue Earth,(507) 243-3010,Active,All Saints Parish of Madison Lake Inc,98 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,09/01/2007,01/01/2023,12/31/2023,   ,
39,1079708,Child Care Center,All Saints Academy St Cloud Campus,1215 11th Ave N,,,Saint Cloud,MN,56303     ,Stearns,(320) 251-5295,Active,All Saints Academy St Cloud Campus,44 ,Service: Day time child care Ages Served: Preschool       ,None,Child Care Center,Minnesota Department of Human Services,08/30/2016,01/01/2023,12/31/2023,   ,
40,1086686,Child Care Center,All Saints Academy St Joseph Campus,32 W Minnesota St,,,Saint Joseph,MN,56374     ,Stearns,(320) 363-7505,Active,All Saints Academy St Cloud Campus,38 ,Service: Day time child care Ages Served: Preschool       ,None,Child Care Center,Minnesota Department of Human Services,08/31/2017,01/01/2023,12/31/2023,   ,
41,1018410,Child Care Center,All Saints Catholic Preschool,19795 Holyoke Ave,,,Lakeville,MN,55044     ,Dakota,(952) 985-9936,Active,"The church of All Saints of Lakeville, Minnesota ",38 ,Service: Day time child care Ages Served: Preschool       ,None,Child Care Center,Minnesota Department of Human Services,08/23/2002,01/01/2023,12/31/2023,   ,
42,800064,Child Care Center,All Saints Child Care Center,15915 Excelsior Blvd, ,,Minnetonka,MN,55345     ,Hennepin,(952) 934-4156,Active,All Saints Lutheran Church Minnetonka,45 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,09/03/1985,01/01/2023,12/31/2023,   ,
43,800065,Child Care Center,All Saints Preschool,15915 Excelsior Blvd,,,Minnetonka,MN,55345     ,Hennepin,(952) 934-3552,Active,All Saints Lutheran Church Minnetonka,67 ,Service: Day time child care Ages Served: Toddlers     Preschool     School-Age       ,"Per Fire Marshall, program may not have any toddlers under 30 months of age.",Child Care Center,Minnesota Department of Human Services,01/01/1966,01/01/2023,12/31/2023,   ,
44,1054093,Child Care Center,All Season's Preschool,7260 South Robert Trail,,,Inver Grove Heights,MN,55077     ,Dakota,(651) 450-0606,Active,All Season's Preschool,60 ,Service: Day time child care Ages Served: Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,10/05/2009,01/01/2023,12/31/2023,   ,
45,1103909,Child Care Center,All Seasons Preschool of Eagan LLC,3385 DISCOVERY RD,,,Eagan,MN,55121-2167,Dakota,(952) 466-1471,Active,All Seasons Preschool of Eagan LLC,50 ,Service: Day time child care Ages Served: Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,09/09/2020,01/01/2023,12/31/2023,   ,
46,1101499,Child Care Center,All Smiles Daycare Center,4102 W COUNTY ROAD 42,,,Savage,MN,55378-2023,Scott,(612) 481-0610,Active,All Smiles Child Daycare Center LLC,59 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,03/05/2020,01/01/2023,12/31/2023,   ,
47,1046877,Child Care Center,"All Stars Montessori, LLC",5920 148th St W,,,Apple Valley,MN,55124     ,Dakota,(952) 432-2422,Active,"All Stars Montessori, LLC",125,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,08/02/2007,01/01/2023,12/31/2023,   ,
48,1049848,Child Care Center,Allstar,980 10TH ST NE,,,Milaca,MN,56353-1809,Mille Lacs,(320) 982-7827,Active,Allstar,129,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,05/27/2008,01/01/2023,12/31/2023,   ,
49,1104621,Child Care Center,Alma Flor Ada Woodbury Spanish Immersion Early Learning Academy,8420 CITY CENTRE DR,,,Woodbury,MN,55125-5308,Washington,(651) 999-3952,Active,"Woodbury Spanish Immersion Early Learning Academy, LLC",108,Service: Day time child care Ages Served: Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,09/09/2020,01/01/2023,12/31/2023,   ,
50,1115314,Child Care Center,Alphabet Child Care Inc.,1010 PARK AVE,,,Minneapolis,MN,55404-1437,Hennepin,(612) 345-5631,Active,Alphabet Child Care Inc.,47 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,"Per state fire marshal, temporary occupancy granted until 6/18/2023",Child Care Center,Minnesota Department of Human Services,01/01/2023,01/01/2023,12/31/2023,   ,
51,831093,Child Care Center,Alphabet Junction Child Care Center,1661 PARK RIDGE DR,,,Chaska,MN,55318-2841,Carver,(952) 227-7754,Active,Alphabet Junction Child Care Center ,52 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,07/01/1999,01/01/2023,12/31/2023,   ,
52,1063267,Child Care Center,Alphabet Junction Childcare Center 4 Inc,1335 10TH AVE E,,,Shakopee,MN,55379-2992,Scott,(952) 445-3555,Active,Alphabet Junction Childcare Center 4 Inc. ,91 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,06/04/2012,01/01/2023,12/31/2023,   ,
53,1065286,Child Care Center,Alphabet Junction Childcare Center 5 Inc,169 El Dorado Dr,,,Jordan,MN,55352     ,Scott,(952) 492-5655,Active,Alphabet Junction Childcare Center 5 Inc,83 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,04/01/2013,02/10/2023,12/31/2023,   ,
54,1056538,Child Care Center,Alphabet Junction Learning Center 3 Inc,7840 Victoria Dr,,,Victoria,MN,55386     ,Carver,(952) 443-3196,Active,Alphabet Junction Learning Center 3 Inc,99 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,03/08/2010,01/01/2023,12/31/2023,   ,
55,1017489,Child Care Center,"Alphabet Junction Learning Center Too, Inc.",240 E Frontage Rd,,,Waconia,MN,55387     ,Carver,(952) 442-8698,Active,"Alphabet Junction Learning Center Too, Inc",82 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,09/12/2002,01/01/2023,12/31/2023,   ,
56,1054231,Child Care Center,Amazing Beginnings Montessori & Child Care,3105 65th St E,,,Inver Grove Heights,MN,55076-4499,Dakota,(651) 451-4433,Active,Amazing Beginnings Montessori & Child Care,100,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,07/24/2009,01/01/2023,12/31/2023,   ,
57,1044123,Child Care Center,American Montessori,14401 Pilot knob Rd,,,Apple Valley,MN,55124     ,Dakota,(952) 736-1004,Active,"American Montessori, Inc.",20 ,Service: Day time child care Ages Served: Preschool       ,None,Child Care Center,Minnesota Department of Human Services,01/16/2007,01/01/2023,12/31/2023,   ,
58,830418,Child Care Center,"American Montessori, Inc. (The)",13973 W Preserve Blvd,,,Burnsville,MN,55337     ,Dakota,(952) 736-1004,Active,"American Montessori, Inc.",57 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,10/02/1997,03/14/2023,12/31/2023,   ,
59,1098076,Child Care Center,Anders Early Learning Center,309 10TH ST S,,,Cleveland,MN,56017-0000,Le Sueur,(507) 931-0077,Active,Anders Early Learning Center,72 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,06/18/2019,01/01/2023,12/31/2023,   ,
60,800081,Child Care Center,Anew Dimension Child Enrichment Center,1819 MINNEHAHA AVE,,,Minneapolis,MN,55404-2286,Hennepin,(612) 339-2333,Active,Anew Dimension Child Enrichment Center,89 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,04/06/1987,01/01/2023,12/31/2023,   ,
61,1082864,Child Care Center,Angels Fun Area LLC,2800 1st Ave S,,,Minneapolis,MN,55408     ,Hennepin,(612) 886-3759,Active,Angels Fun Area LLC,84 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,01/12/2017,01/01/2023,12/31/2023,   ,
62,1066707,Child Care Center,Angels Learning Center,7624 Brooklyn Blvd,,,Brooklyn Park,MN,55443     ,Hennepin,(763) 300-2544,Active,Angels Learning Center LLC,90 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,10/14/2013,01/01/2023,12/31/2023,   ,
63,1079345,Child Care Center,Angie's Learning Center,617 E MAIN ST,,,Belle Plaine,MN,56011-2213,Scott,(952) 873-3951,Active,Angie's Infant and Toddler Daycare LLC,136,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,01/15/2016,01/01/2023,12/31/2023,   ,
64,1080548,Child Care Center,Anna's Bananas Daycare & Preschool,10487 165th St W,,,Lakeville,MN,55044     ,Dakota,(952) 236-0237,Active,Anna's Bananas Day Care Inc. ,129,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,08/15/2016,01/01/2023,12/31/2023,   ,
65,1075534,Child Care Center,Anna's Bananas Daycare & Preschool,12004 County Rd 11,,,Burnsville,MN,55337-0000,Dakota,(952) 707-1814,Active,Anna's Bananas Day Care Inc. ,40 ,Service: Day time child care Ages Served: Infants     Toddlers       ,None,Child Care Center,Minnesota Department of Human Services,11/10/2015,01/01/2023,12/31/2023,   ,
66,1077930,Child Care Center,Anna's Bananas Daycare & Preschool Inc,6700 160th St W,,,Lakeville,MN,55068     ,Dakota,(952) 683-9200,Active,Anna's Bananas Day Care Inc. ,99 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,06/01/2015,01/30/2023,12/31/2023,   ,
67,1041366,Child Care Center,Anna's Bananas Daycare & Preschool Inc,12018 Co Rd 11,,,Burnsville,MN,55337     ,Dakota,(952) 707-1814,Active,Anna's Bananas Day Care Inc. ,111,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,05/19/2006,01/01/2023,12/31/2023,   ,
68,1053790,Child Care Center,Anna's Bananas Daycare & Preschool Inc,7765 147th St,,,Apple Valley,MN,55124     ,Dakota,(952) 431-7998,Active,Anna's Bananas Day Care Inc. ,118,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,01/04/2010,01/01/2023,12/31/2023,   ,
69,1064366,Child Care Center,Anna's Bananas Daycare and Preschool,516 5TH ST W,,,Northfield,MN,55057-1720,Rice,(507) 645-5050,Active,Anna's Bananas Day Care Inc. ,91 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,03/04/2013,01/01/2023,12/31/2023,   ,
70,1003090,Child Care Center,Anna's Bananas Daycare and Preschool Inc,21220 Chippendale Ave,,,Farmington,MN,55024     ,Dakota,(651) 460-8488,Active,Anna's Bananas Day Care Inc. ,220,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,01/01/2000,01/01/2023,12/31/2023,   ,
71,1046878,Child Care Center,Annies Childcare & Learning Center,9630 Ostrowski Way,,,Brainerd,MN,56401     ,Crow Wing,(218) 829-9228,Active,Joann Ostrowski,63 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,09/04/2007,01/01/2023,12/31/2023,   ,
72,1066782,Child Care Center,Annies Childcare & Learning Center,501 W College Dr,,,Brainerd,MN,56401     ,Crow Wing,(218) 855-8274,Active,Joann Ostrowski,78 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,11/11/2013,01/01/2023,12/31/2023,   ,
73,1053178,Child Care Center,Apple Academy Learning Center LLC,1845 Main Street,,,Centerville,MN,55038     ,Anoka,(651) 762-8911,Active,Apple Academy Learning Center - Wyoming LLC,123,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,01/28/2009,01/01/2023,12/31/2023,   ,
74,1074885,Child Care Center,Apple Academy Learning Center LLC Wyoming,26427 Forest Blvd ,,,Wyoming,MN,55092     ,Chisago,(651) 462-8772,Active,Apple Academy Learning Center - Wyoming LLC,98 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,01/26/2015,01/01/2023,12/31/2023,   ,
75,1087704,Child Care Center,Apple Child Care Center Inc,3110 EMERSON AVE N,,,Minneapolis,MN,55411-1366,Hennepin,(612) 395-5215,Active,Apple Child Care Center Inc,82 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,11/27/2017,01/01/2023,12/31/2023,   ,
76,830687,Child Care Center,Apple Lane Community Child Care Center,1900 8th Ave NW,,,Austin,MN,55912     ,Mower,(507) 433-0070,Active,Apple Lane Community Child Care Center-Riverland,198,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,04/01/1998,01/01/2023,12/31/2023,   ,
77,800103,Child Care Center,Apple Tree Learning Center,409 1st St N, ,,Virginia,MN,55792     ,St. Louis,(218) 741-7441,Active,Iron Range Learning and Development Center,127,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,04/15/1982,01/01/2023,12/31/2023,   ,
